source_id,source_name,target_id,target_name,distance_km,travel_time_hours,road_type
65,Chagni,66,Pawi,60.00,1.20,regional
68,Kemise,11,Dessie,25.00,0.36,regional
70,Mersa,71,Kobo,45.00,0.64,regional
71,Kobo,72,Alamata,35.00,0.50,regional
72,Alamata,73,Korem,45.00,0.64,regional
73,Korem,74,Abiy Addi,85.00,1.70,regional
77,Atsbi,78,Wukro,30.00,0.43,regional
78,Wukro,79,Edaga Hamus,20.00,0.29,regional
81,Humera,82,Sheraro,45.00,0.90,regional
86,Debre Tabor,4,Gondar,95.00,1.36,regional
88,Wereta,89,Hamusit,20.00,0.29,regional
89,Hamusit,87,Adis Zemen,25.00,0.36,regional
91,Azezo,90,Gorgora,40.00,0.80,regional
